questionId,question,essay,marks
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",I agre finanshal aid alon no solv povrty in por cuntry. Rich nashun shud giv othr halp instd of mony.,1
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",I agre that jus givin mony to por cuntrees dont solv ishu of povrty. Developd cuntrees nid to provid othr tipe of asistanse.,1
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",Povrty stil a problem evan wen rich cuntry giv financhal aid to por cuntry. Developd nashun shud ofr difrent kind of halp insted.,1
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",Finanshal aid no enuf to end povrty in por nayshun. Rich cuntrees shud provid othr form of asistanse lik trainin n teknolojee.,1
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",I agre that givin mony alon no solv problm of povrty in por nayshun. Developd cuntrees nid to provid difrent tipe of halp.,1
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",Finanshal aid not sufishent to solv povrty ishu in por cuntrees. Rich nashun shud provid othr kind of suport insted of jus mony.,1
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",Povrty stil a big chalanj in por cuntrees despot recievin finanshal aid from rich nayshun. Developd cuntrees shud ofr difrent tipe of asistanse.,1
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",I agre that finanshal aid no enuf to end povrty in por nayshun. Rich cuntrees shud provid othr form of halp lik edukayshn n helthkair.,1
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",Givin mony to por cuntrees no solv povrty problm. Developd nashun shud provid difrent kind of asistanse insted of finanshal aid.,1
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",I agre that finanshal aid alon cant solv povrty in por cuntrees. Rich nayshun shud ofr othr tipe of halp lik trainin n teknolojee.,1
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",I agry that finanshal aide alon iz not enuf to solv povrty in por kuntrees. Developd nayshuns shud provid othr tipez of asistanse insted ov givin mony.,2
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",Finanshal aide from rich kuntrees dont seam to solv the ishu ov povrty in por nayshuns. Developd kuntrees shud ofr difrent kindz ov halp.,2
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?","Dispite recievin finanshal aide, povrty remainz a chalanj in por kuntrees. Developd nayshuns shud provid othr formz ov asistanse insted ov jus givin mony.",2
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",Givin mony alon to por kuntrees dont seam too solv the problm ov povrty. Rich nayshuns shud provid difrent tipez ov halp lik edukayshn n helthkair.,2
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",I agry that finanshal aide alon kant solv the ishu ov povrty in por kuntrees. Developd nayshuns shud ofr othr kindz ov asistanse insted ov jus givin mony.,2
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",Povrty kontinyuz too bee a problm in por kuntrees dispite recievin finanshal aide from rich nayshuns. Developd kuntrees shud provid difrent formz ov halp.,2
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",Finanshal aide from rich kuntrees dont seam too bee enuf too solv povrty in por nayshuns. Developd kuntrees shud ofr othr tipez ov asistanse insted ov givin mony.,2
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",I agry that givin mony alon too por kuntrees kant solv the problm ov povrty. Rich nayshuns shud provid difrent kindz ov halp lik trainin n teknolojee.,2
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?","Dispite recievin finanshal aide, povrty kontinyuz too bee a chalanj in por kuntrees. Developd nayshuns shud provid othr formz ov asistanse insted ov jus givin mony.",2
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",Finanshal aide alon seams too bee not enuf too solv povrty in por kuntrees. Rich nayshuns shud ofr othr tipez ov halp insted ov jus givin mony.,2
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",I agree that finanshial aid alone is not enuf to solve poverty in poor countries. Developed nations shuld provide other types of assistance instead of just giving money.,3
1,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?",Finanshial aid from rich countries does not seem to solve the issue of poverty in poor nations. Developed countries should offer different kinds of help.,3
